sample,fastq_1,fastq_2,replicate
neutrophil-1,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909927/SRR11909927_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909927/SRR11909927_2.fastq.gz,1
neutrophil-1,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909926/SRR11909926_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909926/SRR11909926_2.fastq.gz,2
neutrophil-2,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909942/SRR11909942_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909942/SRR11909942_2.fastq.gz,1
neutrophil-2,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909941/SRR11909941_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909941/SRR11909941_2.fastq.gz,2
neutrophil-3,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909962/SRR11909962_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909962/SRR11909962_2.fastq.gz,1
neutrophil-3,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909961/SRR11909961_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR11909961/SRR11909961_2.fastq.gz,2
cd4_t_cell,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920496/SRR2920496_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920496/SRR2920496_2.fastq.gz,1
cd19_cd20_b_cell,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920513/SRR2920513_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920513/SRR2920513_2.fastq.gz,1
cd8_t_cell,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920521/SRR2920521_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920521/SRR2920521_2.fastq.gz,1
nk_cell,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920527/SRR2920527_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920527/SRR2920527_2.fastq.gz,1
cd14_monocyte,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920543/SRR2920543_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR2920543/SRR2920543_2.fastq.gz,1
pbmc-1,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR19681157/SRR19681157_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR19681157/SRR19681157_2.fastq.gz,1
pbmc-1,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR19681158/SRR19681158_1.fastq.gz,/gs/gsfs0/shared-lab/greally-lab/David/chromBPnet_analysis/data_downloads/SRR19681158/SRR19681158_2.fastq.gz,2
